trigger,Av1,Ap1,Av2,Ap2,Bv1,Bp1,Bv2,Bp2,Av1_z,Av2_z,Ap1_z,Ap2_z,Bv1_z,Bv2_z,Bp1_z,Bp2_z
41,3.2,0.9,4.0,0.1,7.7,0.1,0.2,0.9,0.3987508063696501,0.2913594531754472,1.368787930257331,-1.368787930257331,0.20532555534774127,0.801468380847911,-1.368787930257331,1.368787930257331
42,7.7,0.2,0.2,0.8,3.2,0.8,4.0,0.2,0.20532555534774127,0.801468380847911,-1.0265909476929982,1.0265909476929982,0.3987508063696501,0.2913594531754472,1.0265909476929982,-1.0265909476929982
43,3.2,0.7,4.0,0.3,0.2,0.7,7.7,0.3,0.3987508063696501,0.2913594531754472,0.6843939651286652,-0.6843939651286655,0.801468380847911,0.20532555534774127,0.6843939651286652,-0.6843939651286655
44,7.7,0.4,0.2,0.6,4.0,0.4,3.2,0.6,0.20532555534774127,0.801468380847911,-0.3421969825643326,0.3421969825643326,0.2913594531754472,0.3987508063696501,-0.3421969825643326,0.3421969825643326
45,4.0,0.5,3.2,0.5,7.7,0.5,0.2,0.5,0.2913594531754472,0.3987508063696501,0.0,0.0,0.20532555534774127,0.801468380847911,0.0,0.0
46,3.2,0.4,4.0,0.6,0.2,0.4,7.7,0.6,0.3987508063696501,0.2913594531754472,-0.3421969825643326,0.3421969825643326,0.801468380847911,0.20532555534774127,-0.3421969825643326,0.3421969825643326
47,7.7,0.7,0.2,0.3,4.0,0.7,3.2,0.3,0.20532555534774127,0.801468380847911,0.6843939651286652,-0.6843939651286655,0.2913594531754472,0.3987508063696501,0.6843939651286652,-0.6843939651286655
48,7.7,0.8,0.2,0.2,4.0,0.8,3.2,0.2,0.20532555534774127,0.801468380847911,1.0265909476929982,-1.0265909476929982,0.2913594531754472,0.3987508063696501,1.0265909476929982,-1.0265909476929982
49,4.0,0.9,3.2,0.1,0.2,0.1,7.7,0.9,0.2913594531754472,0.3987508063696501,1.368787930257331,-1.368787930257331,0.801468380847911,0.20532555534774127,-1.368787930257331,1.368787930257331
50,3.2,0.0,4.0,1.0,0.2,0.0,7.7,1.0,0.3987508063696501,0.2913594531754472,-1.7109849128216637,1.7109849128216637,0.801468380847911,0.20532555534774127,-1.7109849128216637,1.7109849128216637
